Level: State
Unit:Total (thousands), Nominal
State,Year,(R01) Total Revenue,(R03) General Revenue,(E001) Total Expenditure,(E013) General Expenditure,(E024) Total Educ-Direct Exp,(E027) Elem Educ-Direct Exp,(E030) Total High Ed-Dir Exp,(E031) Total High Ed-Cur Oper,(E036) Educational Assistance (E19),(E052) Health & Hosp-Dir Exp,(E053) Health & Hosp-Cur Oper,(E054) Health & Hosp-Cap Out,(E055) Health-Direct Expend,(E056) Health-Current Oper (E32)
Idaho,2012,$        8596912,$        7392908,$        8914809,$        7692853,$        1087022,$              0,$         909613,$         800072,$          75519,$         345162,$         341945,$           3217,$         253735,$         251406
Idaho,2013,$        9976705,$        7596301,$        9152290,$        7999666,$        1111123,$              0,$         923661,$         834824,$          75077,$         357400,$         354754,$           2646,$         261894,$         260200
Idaho,2014,$       10666892,$        7711157,$        9357391,$        8034794,$        1092356,$              0,$         897222,$         841914,$          74841,$         349610,$         346814,$           2796,$         253268,$         251654
Idaho,2015,$        9674846,$        8262284,$        9503210,$        8344968,$        1125572,$              0,$         927359,$         868026,$          79222,$         339586,$         334303,$           5283,$         243282,$         239813
Idaho,2016,$        9461986,$        8210770,$        9161671,$        7947779,$        1175340,$              0,$         972707,$         916648,$          84503,$         198811,$         196948,$           1863,$         151096,$         150046
Idaho,2017,$       11619145,$        8536691,$        9577579,$        8298288,$        1219311,$              0,$         987449,$         955854,$         100656,$         198351,$         196161,$           2190,$         146100,$         144677
Illinois,1990,$       24567779,$       20839749,$       22072305,$       20054854,$        2753866,$           3853,$        2070808,$        1826005,$         309875,$        1342091,$        1314610,$          27481,$         742812,$         735245
Illinois,1991,$       25092123,$       21800813,$       24619161,$       22167969,$        2986019,$           8198,$        2321800,$        2072370,$         350295,$        1468957,$        1435608,$          33349,$         817762,$         810904
Illinois,1992,$       27864641,$       23103286,$       26831659,$       23639362,$        3045399,$            118,$        2372035,$        2044568,$         361791,$        1537203,$        1496542,$          40661,$         869774,$         863222
Illinois,1993,$       30350874,$       24971077,$       28125650,$       24675405,$        3154430,$           2973,$        2461423,$        2197572,$         355838,$        1620303,$        1586457,$          33846,$         914879,$         910885
Illinois,1994,$       31989692,$       26688123,$       29448511,$       26057936,$        3447499,$           5041,$        2588707,$        2237042,$         431702,$        1768968,$        1711625,$          57343,$        1017334,$        1007856
Illinois,1995,$       34689103,$       29063506,$       32991313,$       28844928,$        3705586,$            221,$        2837880,$        2418313,$         480413,$        1937735,$        1888648,$          49087,$        1154265,$        1143504
Illinois,1996,$       37221576,$       30537262,$       34111276,$       30091928,$        3767628,$            107,$        2839583,$        2470626,$         505378,$        2230202,$        2157418,$          72784,$        1436125,$        1425113
Illinois,1997,$       39012673,$       32042774,$       35301874,$       31266155,$        3845999,$            356,$        2860213,$        2564083,$         521985,$        2445325,$        2364945,$          80380,$        1602915,$        1587855
Illinois,1998,$       40460377,$       33786763,$       35685258,$       32005330,$        4012238,$              0,$        2970536,$        2636395,$         566491,$        2440418,$        2366978,$          73440,$        1637273,$        1625252
Illinois,1999,$       43294450,$       35686350,$       38313971,$       34357838,$        4227727,$              0,$        3071736,$        2767496,$         618991,$        2701888,$        2614096,$          87792,$        1852135,$        1839000
Illinois,2000,$       48524070,$       38758562,$       41182904,$       36895333,$        4650562,$              0,$        3438432,$        3016221,$         648490,$        2813550,$        2767608,$          45942,$        1971205,$        1959987
Illinois,2001,$       47348197,$       40226623,$       45170257,$       40244967,$        5143316,$              0,$        3818068,$        3283111,$         681629,$        3085428,$        3050487,$          34941,$        2209357,$        2196285
