Level: State
Unit:Total (thousands), Nominal
State,Year,(R01) Total Revenue,(R03) General Revenue,(E001) Total Expenditure,(E013) General Expenditure,(E024) Total Educ-Direct Exp,(E027) Elem Educ-Direct Exp,(E030) Total High Ed-Dir Exp,(E031) Total High Ed-Cur Oper,(E036) Educational Assistance (E19),(E052) Health & Hosp-Dir Exp,(E053) Health & Hosp-Cur Oper,(E054) Health & Hosp-Cap Out,(E055) Health-Direct Expend,(E056) Health-Current Oper (E32)
Washington,1997,$       26841468,$       18212938,$       22206885,$       18802561,$        3383592,$         212424,$        2723308,$        2375459,$         260298,$        1498203,$        1433702,$          64501,$         933529,$         893740
Washington,1998,$       27980014,$       19079085,$       22879901,$       19670796,$        3502246,$         117850,$        2889415,$        2522013,$         284993,$        1581174,$        1527864,$          53310,$         993650,$         961359
Washington,1999,$       28737067,$       20241977,$       24229780,$       20616377,$        3851736,$         143106,$        3165848,$        2692442,$         347358,$        1657298,$        1556963,$         100335,$        1057156,$         980079
Washington,2000,$       30615762,$       21254208,$       25901790,$       21950637,$        4058455,$         161048,$        3333965,$        2929084,$         340142,$        1796167,$        1714896,$          81271,$        1114890,$        1078352
Washington,2001,$       23646114,$       22418306,$       27824006,$       23597439,$        4531717,$         142635,$        3664104,$        3218409,$         391599,$        2014894,$        1911065,$         103829,$        1088183,$        1017705
Washington,2002,$       23813123,$       22775123,$       30378008,$       25160311,$        4824643,$         149583,$        3982261,$        3477391,$         368334,$        2088245,$        2033087,$          55158,$        1171705,$        1117518
Washington,2003,$       29661378,$       24133548,$       32600336,$       26020778,$        5176295,$         171838,$        4136289,$        3575235,$         400841,$        2268428,$        2189888,$          78540,$        1194946,$        1117922
Washington,2004,$       35055610,$       25171415,$       32479709,$       26979693,$        5575727,$         268125,$        4383920,$        3765645,$         448445,$        2541059,$        2460980,$          80079,$        1164085,$        1103168
Washington,2005,$       36802442,$       26948900,$       33047710,$       28203780,$        5478971,$              0,$        4526685,$        3965787,$         489473,$        2653386,$        2573163,$          80223,$        1214612,$        1154422
Washington,2006,$       40832013,$       29283043,$       33914746,$       29056032,$        5805600,$             31,$        4745606,$        4150722,$         542903,$        2781390,$        2711229,$          70161,$        1252641,$        1210137
Washington,2007,$       47043353,$       31225741,$       36822763,$       31671480,$        6269343,$             53,$        5126978,$        4437817,$         583002,$        2785408,$        2709128,$          76280,$        1187440,$        1122617
Washington,2008,$       36659905,$       32272827,$       39689815,$       34091969,$        6804850,$              0,$        5566909,$        4872335,$         642586,$        3000423,$        2930214,$          70209,$        1256697,$        1202232
Washington,2009,$       24387004,$       32520101,$       43453465,$       36537414,$        7299674,$              0,$        5952088,$        4970512,$         694406,$        3196200,$        3104466,$          91734,$        1337085,$        1294322
Washington,2010,$       44306798,$       33710587,$       46237740,$       36469145,$        6990108,$              0,$        5591978,$        4896743,$         738065,$        3270543,$        3166702,$         103841,$        1377833,$        1333513
Washington,2011,$       50420289,$       34993013,$       45999749,$       36888688,$        7364368,$              0,$        5926165,$        5166926,$         760571,$        3468013,$        3312225,$         155788,$        1416760,$        1367386
Washington,2012,$       40828772,$       34236544,$       46273940,$       37880924,$        7127731,$              0,$        5878453,$        5131226,$         894752,$        3691701,$        3537874,$         153827,$        1535168,$        1497372
Washington,2013,$       49025365,$       35988908,$       45701783,$       38303568,$        7595796,$              0,$        6220973,$        5316472,$        1020116,$        3802046,$        3682635,$         119411,$        1627193,$        1577915
Washington,2014,$       55070989,$       38545922,$       48911586,$       41451955,$        7664648,$              0,$        6280809,$        5617480,$        1052290,$        4149625,$        4055152,$          94473,$        1871886,$        1833102
Washington,2015,$       50036623,$       41589620,$       51605750,$       44669057,$        7931749,$              0,$        6570975,$        5778217,$        1102179,$        4659904,$        4507489,$         152415,$        2072982,$        2024181
Washington,2016,$       51173804,$       44056615,$       53435442,$       46206492,$        8493227,$              0,$        7098190,$        6351228,$        1107929,$        4863944,$        4731885,$         132059,$        2064735,$        2033955
Washington,2017,$       63288596,$       47362428,$       55822459,$       48386818,$        8847685,$              0,$        7464391,$        6480089,$        1077718,$        5655296,$        5513698,$         141598,$        2242004,$        2167965
West Virginia,1990,$        4457672,$        3814029,$        4211695,$        3530003,$         553702,$              0,$         467062,$         427965,$          17939,$         183635,$         182425,$           1210,$          87113,$          86531
West Virginia,1991,$        5057556,$        4151718,$        4771726,$        3996068,$         615814,$              0,$         518461,$         488148,$          21678,$         178935,$         177003,$           1932,$          91247,$          90337
West Virginia,1992,$        5452191,$        4558622,$        5261795,$        4395674,$         667217,$              0,$         551272,$         519208,$          25916,$         188135,$         184692,$           3443,$          98858,$          97000
West Virginia,1993,$        6047454,$        5016409,$        5943099,$        4832665,$         710486,$              0,$         572267,$         530241,$          30342,$         187299,$         184016,$           3283,$          93595,$          91600
West Virginia,1994,$        6349448,$        5332980,$        6189980,$        5250197,$         746566,$              0,$         602105,$         565015,$          29156,$         196898,$         192709,$           4189,$         117300,$         115774
West Virginia,1995,$        6661755,$        5628038,$        6261769,$        5418156,$         822060,$              0,$         620243,$         576094,$          81370,$         207463,$         203741,$           3722,$         123761,$         122563
West Virginia,1996,$        6859793,$        5829529,$        6576406,$        5622818,$         839836,$              0,$         674921,$         626576,$          33752,$         195433,$         192044,$           3389,$         114122,$         112703
West Virginia,1997,$        7486970,$        6058452,$        7145479,$        6098674,$         855051,$              0,$         690299,$         646945,$          38718,$         209407,$         206081,$           3326,$         126468,$         125336
West Virginia,1998,$        7808416,$        6205724,$        7148810,$        6210754,$         883229,$              0,$         716088,$         668027,$          38174,$         201967,$         197241,$           4726,$         123607,$         122398
West Virginia,1999,$        8034281,$        6584454,$        7335784,$        6342745,$         940583,$              0,$         760021,$         715528,$          39275,$         210584,$         205771,$           4813,$         127572,$         125186
West Virginia,2000,$        8591389,$        7031879,$        7551834,$        6490241,$        1015686,$              0,$         829067,$         752176,$          45665,$         237324,$         232225,$           5099,$         148806,$         146883
West Virginia,2001,$        8296556,$        6958550,$        7300483,$        6165244,$        1020431,$              0,$         863338,$         796974,$          51280,$         211227,$         208534,$           2693,$         136574,$         136211
West Virginia,2002,$        9130217,$        8052506,$        9409434,$        7560308,$        1180866,$              0,$         941498,$         829939,$          63277,$         298876,$         294610,$           4266,$         197156,$         196285
West Virginia,2003,$        9766188,$        8316567,$       10003729,$        7997646,$        1375088,$              0,$        1130418,$         901931,$          54519,$         321684,$         319335,$           2349,$         216473,$         215751
West Virginia,2004,$       11112803,$        9117599,$        9879217,$        8555271,$        1329418,$              0,$        1028793,$         902981,$          70867,$         306528,$         300660,$           5868,$         233746,$         228904
West Virginia,2005,$       12018837,$        9814650,$        9668369,$        8789834,$        1475227,$              0,$        1098475,$         923372,$          74145,$         317845,$         313469,$           4376,$         245146,$         242680
West Virginia,2006,$       11435036,$       10262195,$        9781296,$        9189486,$        1676757,$              0,$        1258605,$        1056595,$          94330,$         330698,$         322268,$           8430,$         249466,$         244679
West Virginia,2007,$       12525048,$       10631568,$       10165499,$        9246817,$        1814318,$              0,$        1372903,$        1117725,$         105386,$         345924,$         337607,$           8317,$         257211,$         251249
West Virginia,2008,$       10736112,$       10766289,$       10561575,$        9634090,$        1868526,$              0,$        1396764,$        1213617,$         111358,$         363812,$         355701,$           8111,$         257330,$         250085
West Virginia,2009,$       11112547,$       11113125,$       11501520,$       10376402,$        1993507,$              0,$        1456403,$        1290349,$         125549,$         351159,$         332557,$          18602,$         237138,$         220690
West Virginia,2010,$       13712959,$       11709919,$       12343051,$       10767434,$        2049517,$              0,$        1513946,$        1382976,$         131835,$         352942,$         347829,$           5113,$         231325,$         227771
West Virginia,2011,$       15397630,$       12714234,$       13000033,$       11445676,$        2280966,$              0,$        1586126,$        1425534,$         142073,$         378929,$         373994,$           4935,$         258389,$         254328
West Virginia,2012,$       13247295,$       12294552,$       13222916,$       11709305,$        2308597,$              0,$        1684769,$        1492799,$         151284,$         425382,$         405805,$          19577,$         300320,$         282308
West Virginia,2013,$       14827225,$       12402596,$       13234175,$       11708869,$        2315364,$              0,$        1683869,$        1434560,$         165234,$         413224,$         398622,$          14602,$         287039,$         273545
West Virginia,2014,$       15326172,$       12252809,$       13280283,$       11745454,$        2240440,$              0,$        1637094,$        1431085,$         174923,$         412219,$         388666,$          23553,$         278200,$         259459
West Virginia,2015,$       13770542,$       12546909,$       14252984,$       12790705,$        2154628,$              0,$        1646293,$        1484341,$         234448,$         359841,$         349425,$          10416,$         223492,$         221213
West Virginia,2016,$       13330561,$       12530316,$       15101059,$       13344329,$        2257120,$              0,$        1739159,$        1548049,$         249694,$         393774,$         386122,$           7652,$         226151,$         225288
West Virginia,2017,$       15919264,$       12751630,$       15193526,$       13534104,$        2266961,$              0,$        1742824,$        1556446,$         264158,$         385788,$         378562,$           7226,$         235458,$         231354
California,1990,$       89275421,$       69251209,$       78867326,$       70188885,$        8121143,$         122667,$        6820841,$        6357874,$         544523,$        3026420,$        2936096,$          90324,$         967464,$         957815
California,1991,$       90783734,$       72675502,$       85639976,$       75033397,$        8764064,$         131358,$        7234453,$        6781186,$         735287,$        3313853,$        3155266,$         158587,$         935860,$         895499
California,1992,$      101998668,$       81243813,$       97231185,$       83512173,$        9242251,$         136161,$        7630889,$        6894745,$         758994,$        4209342,$        3981205,$         228137,$        1599984,$        1587551
California,1993,$      108597722,$       84784105,$      104567486,$       89037012,$        9825944,$         130670,$        8294404,$        7323111,$         747242,$        4563001,$        4175287,$         387714,$        1744769,$        1730528
California,1994,$      111633414,$       89370425,$      104519132,$       90823338,$        9443777,$         119383,$        7592722,$        6910055,$         959852,$        4637410,$        4388608,$         248802,$        1931025,$        1916123
California,1995,$      118303386,$       94252188,$      109231147,$       94006597,$       10203176,$         151584,$        8213729,$        7289829,$        1049052,$        4801302,$        4610128,$         191174,$        2275797,$        2260738
California,1996,$      123342274,$       98185276,$      113361355,$       98782722,$       10851731,$         136157,$        8760523,$        7757926,$        1057827,$        5347326,$        5224568,$         122758,$        2567366,$        2550226
California,1997,$      131099489,$      103929227,$      117209422,$      102852971,$       11296208,$         143531,$        9079534,$        8185896,$        1121672,$        5798429,$        5624642,$         173787,$        2880759,$        2850750
California,1998,$      144984793,$      111087557,$      120329505,$      106680820,$       12142434,$         153955,$        9817227,$        8700242,$        1168977,$        5370503,$        5153816,$         216687,$        2938986,$        2915785
California,1999,$      154016720,$      119407560,$      133672890,$      120178377,$       13290290,$            356,$       10979551,$        9792771,$        1200084,$        6149943,$        5786333,$         363610,$        3231851,$        3074910
California,2000,$      172480675,$      135781559,$      149772310,$      134203791,$       15016575,$              0,$       12603106,$       11319384,$        1119913,$        6956540,$        6803127,$         153413,$        3621350,$        3609102
California,2001,$      176080892,$      148976786,$      170470259,$      145582238,$       16465250,$              0,$       13540251,$       12385665,$        1235558,$        6507385,$        6303688,$         203697,$        2385959,$        2372119
California,2002,$      151245388,$      141480665,$      184927602,$      158235437,$       17288569,$         170820,$       13869374,$       13181267,$        1790304,$        6835137,$        6441312,$         393825,$        2478496,$        2465910
California,2003,$      195545076,$      147998249,$      204438461,$      173158060,$       18214162,$         292775,$       14724637,$       13609271,$        1842062,$        7129820,$        6304144,$         825676,$        2104615,$        2049915
California,2004,$      229698348,$      153625487,$      203010934,$      170147556,$       18377405,$         174466,$       14809836,$       12534722,$        2128418,$        7294253,$        6688104,$         606149,$        2125559,$        2107073
California,2005,$      250278075,$      171786432,$      210407134,$      177303858,$       19413599,$         362829,$       15451068,$       12977336,$        2437528,$        7435227,$        6925234,$         509993,$        2063198,$        2058609
California,2006,$      263764713,$      188443700,$      225317442,$      191607263,$       20169385,$         360886,$       15894193,$       13783368,$        2665885,$        7717577,$        7200888,$         516689,$        2153381,$        2116004
California,2007,$      297729393,$      187324747,$      232450325,$      197413525,$       20873067,$         403519,$       17241293,$       14685104,$        1775689,$        8858750,$        8013186,$         845564,$        2613259,$        2605196
California,2008,$      199202538,$      192428706,$      246659361,$      208758067,$       23378656,$         419774,$       19296429,$       16780415,$        1916280,$       10251891,$        9399761,$         852130,$        3386505,$        3363842
California,2009,$      113241403,$      186207795,$      253944548,$      211083320,$       24578117,$         353367,$       20474475,$       17529532,$        2055490,$        9776039,$        9057192,$         718847,$        2516672,$        2489310
California,2010,$      281667095,$      198949318,$      257236917,$      210491325,$       27595506,$         333662,$       22419495,$       19983000,$        3018863,$        8202222,$        7584320,$         617902,$        1206344,$        1201399
California,2011,$      336546652,$      213671478,$      282524665,$      227304241,$       28960475,$         333790,$       23805580,$       21226910,$        3537207,$        9198688,$        8491628,$         707060,$        1326787,$        1311979
California,2012,$      242002497,$      199358854,$      269054704,$      217146079,$       30793152,$         325152,$       25536594,$       23287415,$        4138422,$       10080450,$        9190572,$         889878,$        1386882,$        1381387
California,2013,$      312974830,$      219692720,$      283572491,$      233454218,$       30518891,$         323265,$       25062006,$       23198400,$        4285537,$       10655924,$        9782720,$         873204,$        1569136,$        1528810
California,2014,$      344302089,$      230758996,$      286668146,$      235768201,$       31410110,$           2546,$       25998869,$       23668903,$        4532899,$       11737404,$       10890257,$         847147,$        1776129,$        1769090
California,2015,$      317407695,$      265499211,$      320288030,$      269774501,$       32731690,$              6,$       26815661,$       24444866,$        4930538,$       12364827,$       11543414,$         821413,$        1731601,$        1727914
California,2016,$      323312480,$      286476716,$      343799050,$      293665671,$       34784584,$              1,$       28559363,$       26101272,$        5182384,$       12842843,$       11925992,$         916851,$        1874170,$        1874170
California,2017,$      392867617,$      288643575,$      349897906,$      296724885,$       35945017,$              0,$       29562451,$       27037604,$        5316416,$       14751566,$       14021068,$         730498,$        1324842,$        1324842
Wisconsin,1990,$       15338074,$       10975407,$       11416417,$       10499148,$        1729859,$              0,$        1489417,$        1345200,$         122902,$         418988,$         407958,$          11030,$          94227,$          93231
Wisconsin,1991,$       14137205,$       11825069,$       12448441,$       11340393,$        1846763,$              0,$        1579812,$        1433449,$         135342,$         455520,$         439125,$          16395,$          91118,$          90460
Wisconsin,1992,$       17608614,$       12584972,$       13595620,$       12258080,$        1956125,$              0,$        1664210,$        1497162,$         143636,$         504018,$         485054,$          18964,$         112051,$         110197
Wisconsin,1993,$       18676831,$       13609610,$       14620876,$       13272436,$        2063073,$              0,$        1750859,$        1566497,$         150979,$         540430,$         517439,$          22991,$         130227,$         128523
Wisconsin,1994,$       19617168,$       14466854,$       15281465,$       13823044,$        2091720,$              0,$        1794830,$        1631146,$         152595,$         552262,$         531673,$          20589,$         136881,$         135120
Wisconsin,1995,$       16826271,$       15337062,$       16301863,$       14546405,$        2173878,$              0,$        1850240,$        1656138,$         165146,$         579514,$         565478,$          14036,$         146821,$         144629
Wisconsin,1996,$       24365145,$       16071246,$       16989913,$       15251343,$        2218127,$              0,$        1892214,$        1695030,$         167582,$         589911,$         572557,$          17354,$         151776,$         150331
Wisconsin,1997,$       23882270,$       16916226,$       18199533,$       16228736,$        2316775,$              0,$        1982425,$        1745122,$         175386,$         647902,$         629780,$          18122,$         201760,$         200782
Wisconsin,1998,$       27037795,$       18168637,$       19001608,$       16980057,$        2453033,$              0,$        2092727,$        1874774,$         200083,$         672853,$         652676,$          20177,$         185300,$         183736
Wisconsin,1999,$       28334130,$       19262147,$       20465757,$       18314727,$        2562875,$              0,$        2187138,$        1999206,$         213306,$         749867,$         709886,$          39981,$         213119,$         210718
Wisconsin,2000,$       32118833,$       21183017,$       22833463,$       20452431,$        2817716,$              0,$        2410871,$        2167931,$         224392,$         864662,$         804345,$          60317,$         270618,$         268652
Wisconsin,2001,$       18826011,$       21883865,$       24857238,$       21693978,$        3250299,$              0,$        2786894,$        2472523,$         256648,$         872878,$         819518,$          53360,$         278951,$         274323
Wisconsin,2002,$       20874265,$       22874127,$       26749270,$       23118991,$        3197496,$              0,$        2807662,$        2567324,$         155317,$         968188,$         921893,$          46295,$         310728,$         308181
Wisconsin,2003,$       25165038,$       23433155,$       27658175,$       23813423,$        3318686,$              0,$        2906063,$        2701367,$         157369,$         977404,$         965248,$          12156,$         280026,$         277691
Wisconsin,2004,$       34883382,$       24063886,$       28577240,$       24789046,$        3625707,$              0,$        3204178,$        2849306,$         173968,$        1103629,$        1043201,$          60428,$         303918,$         300331
Wisconsin,2005,$       34243202,$       24611203,$       28828312,$       25168165,$        3782107,$              0,$        3314058,$        2976817,$         190985,$        1131084,$        1083875,$          47209,$         293267,$         289161
Wisconsin,2006,$       33410533,$       25707505,$       30125045,$       26277392,$        3944253,$              0,$        3459403,$        3066929,$         207311,$        1311231,$        1236925,$          74306,$         393417,$         387608
Wisconsin,2007,$       40430664,$       26722678,$       31004011,$       26912467,$        4207589,$              0,$        3699525,$        3177118,$         203839,$        1316837,$        1278793,$          38044,$         365709,$         362738
Wisconsin,2008,$       25469939,$       27802380,$       32649254,$       28019994,$        4306918,$              0,$        3772739,$        3378362,$         228289,$        1499646,$        1372388,$         127258,$         393426,$         385021
Wisconsin,2009,$        8518436,$       29482062,$       35646272,$       30176862,$        4501164,$              0,$        3940057,$        3527696,$         248459,$        1460152,$        1378562,$          81590,$         317706,$         303915
Wisconsin,2010,$       48088136,$       30845174,$       38589815,$       31677742,$        4896158,$              0,$        4324596,$        3764073,$         257394,$        1688711,$        1645766,$          42945,$         528384,$         522238
Wisconsin,2011,$       44807389,$       32132862,$       39349832,$       33040658,$        5105821,$              0,$        4487039,$        3839271,$         299168,$        1671538,$        1625957,$          45581,$         483581,$         474175
Wisconsin,2012,$       34881961,$       31338293,$       40533694,$       34551446,$        5577555,$              0,$        4884496,$        4245899,$         361158,$        2061540,$        2013874,$          47666,$         509659,$         506758
Wisconsin,2013,$       46565498,$       32232111,$       40469916,$       34816856,$        5260915,$              0,$        4505254,$        3975098,$         393471,$        2217787,$        2170845,$          46942,$         511159,$         503927
Wisconsin,2014,$       46696878,$       32393837,$       42348312,$       36440282,$        5450377,$              0,$        4647011,$        4210454,$         423031,$        2244526,$        2122915,$         121611,$         448053,$         436286
Wisconsin,2015,$       41554288,$       33396116,$       42767738,$       37550546,$        5394047,$              0,$        4521386,$        4133085,$         433596,$        2342824,$        2272523,$          70301,$         465132,$         450307
Wisconsin,2016,$       36695653,$       34484963,$       40925666,$       35547404,$        5487109,$              0,$        4780536,$        4451927,$         444489,$        2252923,$        2148687,$         104236,$         200864,$         191910
Wisconsin,2017,$       45883441,$       35559620,$       42358466,$       36878094,$        5452115,$              0,$        4805428,$        4485810,$         461454,$        2630911,$        2475340,$         155571,$         347937,$         340933
Wyoming,1990,$        1901853,$        1656696,$        1641177,$        1484748,$         159595,$              0,$         141277,$         125110,$          12875,$          70694,$          67109,$           3585,$          39406,$          38571
Wyoming,1991,$        1979132,$        1740957,$        1813108,$        1637792,$         178411,$              0,$         148210,$         138892,$          15603,$          75601,$          73632,$           1969,$          40380,$          39962
Wyoming,1992,$        2024676,$        1722869,$        1925147,$        1725394,$         194357,$              0,$         161528,$         145285,$          17613,$          72959,$          68256,$           4703,$          34814,$          34103
Wyoming,1993,$        2180732,$        1850689,$        1886755,$        1657030,$         201385,$              0,$         167384,$         143999,$          16928,$          77782,$          76241,$           1541,$          43691,$          42848
Wyoming,1994,$        2307965,$        2004462,$        1974897,$        1752330,$         217125,$             30,$         178280,$         151074,$          17063,$          84994,$          82778,$           2216,$          51927,$          50887
Wyoming,1995,$        2239881,$        1951668,$        2045221,$        1803163,$         224846,$             23,$         185801,$         168603,$          18685,$          82951,$          79639,$           3312,$          49395,$          47161
Wyoming,1996,$        2432404,$        2088525,$        2062116,$        1806556,$         222909,$             18,$         183516,$         166499,$          19300,$          89134,$          87024,$           2110,$          57376,$          55449
Wyoming,1997,$        2652155,$        2188515,$        2126805,$        1877294,$         222262,$              0,$         179397,$         167267,$          19453,$          79369,$          77559,$           1810,$          50953,$          49327
Wyoming,1998,$        2652956,$        2336524,$        2172024,$        1919710,$         221962,$              0,$         181340,$         170257,$          20019,$          85165,$          82332,$           2833,$          55979,$          53479
Wyoming,1999,$        3092259,$        2214606,$        2372933,$        2106888,$         242775,$              0,$         192933,$         174157,$          22972,$         102656,$         100526,$           2130,$          64388,$          62486
Wyoming,2000,$        5740333,$        2356583,$        2552590,$        2254058,$         261341,$              0,$         202524,$         187047,$          24240,$          85081,$          81735,$           3346,$          59205,$          57522
Wyoming,2001,$        2880176,$        2726669,$        2645226,$        2330920,$         279962,$              0,$         223568,$         197486,$          25242,$          97971,$          89551,$           8420,$          68499,$          66692
Wyoming,2002,$        2769606,$        2768326,$        2948182,$        2608940,$         286560,$              0,$         226193,$         207943,$          23510,$         103540,$          97465,$           6075,$          78075,$          75687
Wyoming,2003,$        3403152,$        3602966,$        3264439,$        2881398,$         320765,$              0,$         261945,$         234651,$          23883,$         115680,$         105857,$           9823,$          81951,$          78902
Wyoming,2004,$        4609487,$        3518647,$        3596252,$        3185579,$         341185,$             74,$         272413,$         247977,$          22518,$         134864,$         129828,$           5036,$         131627,$         127927
Wyoming,2005,$        5296649,$        4304075,$        3999825,$        3570304,$         389835,$              5,$         314437,$         274520,$          19289,$         176560,$         172139,$           4421,$         173940,$         170686
Wyoming,2006,$        5831362,$        4897206,$        4011496,$        3563917,$         371590,$            207,$         307190,$         266528,$          22058,$         170041,$         167142,$           2899,$         168168,$         165695
Wyoming,2007,$        6091326,$        4820460,$        4536373,$        4061846,$         443063,$             92,$         350193,$         282850,$          25768,$         224014,$         209215,$          14799,$         222318,$         207665
Wyoming,2008,$        6718235,$        5624350,$        5081586,$        4564285,$         502123,$              9,$         405841,$         313124,$          35703,$         275406,$         266187,$           9219,$         273022,$         263896
Wyoming,2009,$        4787884,$        6040527,$        5577990,$        4963188,$         567063,$              6,$         447611,$         338278,$          38975,$         299262,$         292856,$           6406,$         295962,$         289610
Wyoming,2010,$        7454081,$        5627033,$        5756937,$        4956616,$         546020,$             31,$         430565,$         358238,$          45712,$         295739,$         286315,$           9424,$         290403,$         281002
Wyoming,2011,$        7494341,$        6056459,$        5673561,$        4904854,$         611137,$             34,$         441147,$         375148,$          46409,$         286395,$         275444,$          10951,$         281927,$         271177
Wyoming,2012,$        7419908,$        6719184,$        5576454,$        4817193,$         747733,$              0,$         473500,$         398515,$          45281,$         331913,$         331409,$            504,$         325752,$         325248
Wyoming,2013,$        8437480,$        6605860,$        5653557,$        4855266,$         705256,$              0,$         477370,$         384039,$          43990,$         375979,$         375606,$            373,$         372117,$         371744
Wyoming,2014,$        8222193,$        6611448,$        5705728,$        4852180,$         699923,$              0,$         474849,$         400003,$          44324,$         338716,$         338132,$            584,$         335763,$         335179
Wyoming,2015,$        7983068,$        6768343,$        6147639,$        5290356,$         719443,$              0,$         477041,$         409763,$          50039,$         352330,$         351322,$           1008,$         348886,$         347878
Wyoming,2016,$        6453279,$        5631409,$        6333388,$        5410156,$         815963,$              0,$         580620,$         504526,$          51199,$         375479,$         375146,$            333,$         371970,$         371637
Wyoming,2017,$        6819346,$        5552848,$        6358658,$        5424114,$         866896,$              0,$         621194,$         488496,$          50237,$         398439,$         398216,$            223,$         394862,$         394639
Colorado,1990,$        7614029,$        5783297,$        6510158,$        5627017,$        1285024,$              0,$        1204452,$        1084390,$          41118,$         323414,$         288539,$          34875,$         173853,$         142034
Colorado,1991,$        7863081,$        6225665,$        6992288,$        6089428,$        1379183,$              0,$        1295084,$        1156248,$          48183,$         336998,$         324796,$          12202,$         174332,$         168446
Colorado,1992,$        9077033,$        7014481,$        7491923,$        6493768,$        1489249,$              0,$        1395521,$        1257611,$          56857,$         328257,$         322461,$           5796,$         179533,$         175227
Colorado,1993,$       10027745,$        7840311,$        8672886,$        7471882,$        1573532,$              0,$        1456681,$        1343989,$          62302,$         349352,$         340819,$           8533,$         190073,$         187546
Colorado,1994,$       10429927,$        8039381,$        8902738,$        7652127,$        1706882,$              0,$        1583855,$        1438070,$          68219,$         344831,$         339926,$           4905,$         197539,$         195419
Colorado,1995,$       11555971,$        9192296,$        9801852,$        8433648,$        1960600,$              0,$        1699189,$        1546281,$         194982,$         333761,$         327236,$           6525,$         193757,$         191704
Colorado,1996,$       11866383,$        9461517,$       10216917,$        8807456,$        2094607,$              0,$        1801902,$        1666097,$         215386,$         343709,$         335062,$           8647,$         205163,$         199317
Colorado,1997,$       12779639,$        9944905,$       10861228,$        9381494,$        2212908,$              0,$        2033590,$        1829187,$          84129,$         354110,$         341684,$          12426,$         216303,$         207459
Colorado,1998,$       13522443,$       10961614,$       11277701,$       10104647,$        2249758,$              0,$        2074671,$        1921302,$          89695,$         393134,$         386222,$           6912,$         249869,$         247438
Colorado,1999,$       14158140,$       11746973,$       13148371,$       11698887,$        2364289,$           2631,$        2169243,$        1967026,$          95983,$         404597,$         395599,$           8998,$         258822,$         256234
Colorado,2000,$       17059603,$       12925010,$       13929779,$       12485324,$        2616855,$           1316,$        2408945,$        2105889,$         106117,$         420153,$         414975,$           5178,$         273197,$         270853
Colorado,2001,$       19774425,$       13868004,$       15685926,$       13702406,$        2802405,$              0,$        2562196,$        2278077,$         116815,$         426586,$         419731,$           6855,$         271721,$         269583
Colorado,2002,$       12478045,$       13999486,$       17324984,$       14795822,$        3009024,$             74,$        2730609,$        2432588,$         148330,$        1001574,$         995863,$           5711,$         748043,$         745588
Colorado,2003,$       13805946,$       13998588,$       17690925,$       14792539,$        3087540,$             81,$        2784559,$        2468581,$         170852,$         957247,$         953947,$           3300,$         659463,$         657827
Colorado,2004,$       23031818,$       14906599,$       18042055,$       15016170,$        3059132,$             99,$        2775269,$        2504819,$         161239,$        1057366,$        1054120,$           3246,$         732163,$         729550
Colorado,2005,$       22453274,$       15843164,$       18733519,$       15647368,$        3115856,$            182,$        2833454,$        2625340,$         172214,$        1060959,$        1055993,$           4966,$         721937,$         717918
Colorado,2006,$       23477989,$       17504521,$       20150921,$       16965585,$        3437524,$            145,$        3093281,$        2788942,$         205033,$        1007939,$        1004296,$           3643,$         652636,$         649608
Colorado,2007,$       26892432,$       18492251,$       21243982,$       17980929,$        3809244,$            155,$        3495365,$        2966944,$         210204,$        1068771,$        1065256,$           3515,$         674008,$         671183
Colorado,2008,$       26521512,$       19617888,$       22868206,$       19341732,$        4043669,$            473,$        3695700,$        3214681,$         236124,$        1156239,$        1151616,$           4623,$         718417,$         716076
Colorado,2009,$        9891984,$       18857772,$       24443854,$       20374991,$        4431042,$              3,$        4042644,$        3450124,$         269232,$        1483488,$        1478961,$           4527,$         969374,$         966881
Colorado,2010,$       27395534,$       19336002,$       26996775,$       21153440,$        4670099,$              0,$        4215391,$        3535974,$         293792,$        1683337,$        1670556,$          12781,$        1108855,$        1099156
Colorado,2011,$       30177159,$       21976630,$       28350439,$       22186094,$        4880620,$              0,$        4386974,$        3735560,$         313645,$        1807214,$        1791249,$          15965,$        1147195,$        1132550
Colorado,2012,$       25546642,$       21750830,$       28117189,$       22315252,$        5098842,$              0,$        4467064,$        3958057,$         347431,$        1560277,$        1552295,$           7982,$         894792,$         888010
Colorado,2013,$       31685060,$       23006195,$       28665167,$       23082373,$        5180383,$              0,$        4533168,$        4015530,$         362907,$        1665016,$        1660303,$           4713,$         954398,$         950999
Colorado,2014,$       33886468,$       24582680,$       30751447,$       25283771,$        5621755,$              0,$        4902994,$        4302321,$         381541,$        1795721,$        1790136,$           5585,$         986990,$         982795
Colorado,2015,$       32159564,$       26263114,$       32229154,$       26917961,$        6076204,$              0,$        5193247,$        4409284,$         723508,$        1180305,$        1170937,$           9368,$         352823,$         345227
Colorado,2016,$       31250994,$       27385122,$       34229139,$       28726955,$        6721007,$              0,$        5792036,$        4871462,$         767288,$        1284843,$        1267028,$          17815,$         361069,$         347122
Colorado,2017,$       34830118,$       28236903,$       35172287,$       29545129,$        7195583,$              0,$        6188090,$        5339164,$         800137,$        1417006,$        1404711,$          12295,$         381476,$         371167
