Level: State
Unit:Total (thousands), Nominal
State,Year,(R01) Total Revenue,(R05) Total Taxes,(R06) Property Tax (T01),(R07) NonProperty Taxes,(R08) Tot Sales & Gr Rec Tax,(R09) Total Gen Sales Tax (T09),(R10) Total Select Sales Tax,(R11) Alcoholic Beverage Tax (T10),(R12) Amusement Tax (T11),(R13) Insurance Premium Tax (T12),(R14) Motor Fuels Tax (T13),(R15) Parimutuels Tax (T14),(R16) Public Utility Tax (T15),(R17) Tobacco Tax (T16),(R18) Other Select Sales Tax (T19),(R19) Total License Taxes,(R20) Alcoholic Beverage Lic (T20),(R21) Corporation License (T22),(R22) Motor Veh & Oper Lic,(R23) Motor Vehicle License (T24),(R24) Motor Veh Oper License (T25),(R25) Other License Taxes,(R26) Total Income Taxes,(R27) Individual Income Tax (T40),(R28) Corp Net Income Tax (T41),(R29) Death and Gift Tax (T50),(R30) Taxes NEC
Alabama,2014,$       29321403,$        9296846,$         332689,$        8964157,$        4812674,$        2393192,$        2419482,$         181427,$             70,$         304441,$         534396,$           1547,$         734105,$         117112,$         546384,$         386378,$           4225,$          78166,$         210265,$         189345,$          20920,$          93722,$        3612991,$        3206583,$         406408,$              8,$         152106
Alabama,2015,$       28169117,$        9755439,$         336825,$        9418614,$        4936049,$        2463912,$        2472137,$         192490,$             18,$         312030,$         560188,$           1514,$         734531,$         116414,$         554952,$         493883,$           4217,$         156398,$         237486,$         211144,$          26342,$          95782,$        3870173,$        3336587,$         533586,$              0,$         118509
Alabama,2016,$       30732245,$       10355317,$         362515,$        9992802,$        5214390,$        2648616,$        2565774,$         217790,$              0,$         339719,$         579588,$           1226,$         687928,$         178547,$         560976,$         575510,$           4086,$         225949,$         253123,$         219393,$          33730,$          92352,$        4098278,$        3624542,$         473736,$              0,$         104624
Alabama,2017,$       33248412,$       10417084,$         395930,$       10021154,$        5247294,$        2654883,$        2592411,$         217790,$              0,$         339719,$         588992,$           1226,$         688756,$         188783,$         567145,$         528539,$           4086,$         173265,$         253123,$         219393,$          33730,$          98065,$        4144656,$        3624543,$         520113,$              0,$         100665
Florida,1994,$       34804817,$       17808222,$         681484,$       17126738,$       13551787,$       10042360,$        3509427,$         534793,$            397,$         378461,$        1252347,$          93376,$         459376,$         438864,$         351813,$        1301092,$          38286,$         117592,$         858184,$         762437,$          95747,$         287030,$         950235,$              0,$         950235,$         347052,$         976572
Florida,1995,$       37359429,$       18564650,$         706021,$       17858629,$       14326946,$       10656548,$        3670398,$         514488,$            398,$         419306,$        1337144,$          86740,$         506841,$         451514,$         353967,$        1299716,$          31895,$         121887,$         848456,$         751821,$          96635,$         297478,$         944969,$              0,$         944969,$         409253,$         877745
Florida,1996,$       41708897,$       19728262,$         754482,$       18973780,$       15240513,$       11428999,$        3811514,$         542130,$            599,$         482053,$        1337982,$          81638,$         542993,$         458234,$         365885,$        1344391,$          31599,$         123420,$         879926,$         786039,$          93887,$         309446,$        1007556,$              0,$        1007556,$         406611,$         974709
Florida,1997,$       41337536,$       20985579,$         787614,$       20197965,$       15986690,$       12068290,$        3918400,$         553520,$              0,$         392053,$        1480898,$          64907,$         575701,$         442224,$         409097,$        1370177,$          28303,$         121853,$         907807,$         809031,$          98776,$         312214,$        1232731,$              0,$        1232731,$         536523,$        1071844
Florida,1998,$       51743930,$       22513115,$         984694,$       21528421,$       16927461,$       12923644,$        4003817,$         565188,$              0,$         376212,$        1496717,$          60061,$         634213,$         467050,$         404376,$        1443838,$          29917,$         120796,$         943152,$         832095,$         111057,$         349973,$        1271261,$              0,$        1271261,$         577530,$        1308331
Florida,1999,$       49208745,$       23798564,$         960814,$       22837750,$       17920401,$       13881122,$        4039279,$         576762,$              0,$         336337,$        1577497,$          50777,$         639642,$         451787,$         406477,$        1503055,$          28649,$         126455,$         990369,$         877327,$         113042,$         357582,$        1266959,$              0,$        1266959,$         649521,$        1497814
Florida,2000,$       51621214,$       24817263,$         762653,$       24054610,$       19131173,$       15010888,$        4120285,$         575169,$              0,$         355677,$        1608061,$          49394,$         666180,$         442512,$         423292,$        1504990,$          30488,$         120967,$        1039744,$         927038,$         112706,$         313791,$        1182796,$              0,$        1182796,$         739490,$        1496161
